,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Random Forest,0,0,0.9356351236146633,0.9424645770717046,0.9390374331550803,4658,1.0,3.8
1,Random Forest,0,1,0.9086882453151618,0.8982822499157965,0.9034552845528455,2969,1.0,3.8
2,Random Forest,1,0,0.9358052019922524,0.9287806664225559,0.9322797022879721,5462,0.7033492822966507,3.8
3,Random Forest,1,1,0.9148610199168308,0.9231448763250883,0.9189842805320435,4528,0.7033492822966507,3.8
4,Random Forest,2,0,0.9408194233687405,0.9404302261445119,0.9406247844976208,7252,1.0,3.8
5,Random Forest,2,1,0.9344461305007588,0.9348717170183695,0.9346588753130454,6587,1.0,3.8
6,Random Forest,3,0,0.9271259198691741,0.9508385744234801,0.9388325398468225,9540,1.0,3.8
7,Random Forest,3,1,0.9528453649708426,0.9300294406280667,0.9412991656734208,10190,1.0,3.8
8,Random Forest,4,0,0.9244679956262091,0.9599965062450869,0.9418973348187505,11449,1.0,3.8
9,Random Forest,4,1,0.9639597104186339,0.9317006388804381,0.947555693069307,13148,1.0,3.8
10,Random Forest,5,0,0.9242778541953233,0.9621277205040092,0.9428230672092045,13968,1.0,3.8
11,Random Forest,5,1,0.9676353624961762,0.9349175385706685,0.9509951295772954,16917,1.0,3.8
12,Random Forest,6,0,0.9122512725590005,0.9467523112018249,0.9291816414305073,16658,1.0,3.8
13,Random Forest,6,1,0.9546732076243037,0.9248972721421853,0.93954938644136,20199,1.0,3.8
14,Random Forest,7,0,0.9282587548638133,0.9572173738589628,0.9425156797866561,19938,1.0,3.8
15,Random Forest,7,1,0.964453890069592,0.9400869247329299,0.9521145301958204,24619,1.0,3.8
16,Random Forest,8,0,0.9310535024820739,0.9548342180837177,0.9427939249425361,22982,0.4489413122677921,3.8
17,Random Forest,8,1,0.9639094607280693,0.9446299577483985,0.9541723313084032,29348,0.4489413122677921,3.8
18,Random Forest,9,0,0.9315063152970529,0.9165707710011507,0.9239781910985653,26070,0.0,3.8
19,Random Forest,9,1,0.9376165208661982,0.9489941068888438,0.9432710064635272,34447,0.0,3.8
20,Random Forest,10,0,0.9230895160762229,0.9318151771549444,0.9274318234152439,30256,0.0,3.8
21,Random Forest,10,1,0.9487542539185732,0.9420615149347606,0.9453960396039605,40543,0.0,3.8
22,Random Forest,11,0,0.9201119527851297,0.917738803252822,0.9189238458383338,32956,1.0,3.8
23,Random Forest,11,1,0.9393172915500839,0.9411078717201167,0.9402117291211561,44590,1.0,3.8
24,Random Forest,12,0,0.9184108577520085,0.9519997843898232,0.9349037252696354,37104,1.0,3.8
25,Random Forest,12,1,0.9631728045325779,0.9368840259061104,0.9498465522690892,49718,1.0,3.8
26,Random Forest,13,0,0.9194542029428237,0.912808329963607,0.9161192136968929,39568,0.0,3.8
27,Random Forest,13,1,0.9345549738219895,0.939652870493992,0.9370969889486999,52430,0.0,3.8
28,Random Forest,14,0,0.9258362040226692,0.9742966064036298,0.9494484456194731,42757,1.0,3.8
29,Random Forest,14,1,0.9802611491280062,0.9423810757144091,0.9609479540812733,57915,1.0,3.8
