,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9285714285714286,0.9475476839237057,0.937963587322994,4404,1.0,5.800000000000001
1,Neural Network,0,1,0.9130598419269853,0.8831452493629414,0.8978534418948926,2747,1.0,5.800000000000001
2,Neural Network,1,0,0.9133458646616541,0.956496062992126,0.9344230769230769,5080,1.0,5.800000000000001
3,Neural Network,1,1,0.9517677869925797,0.9043965159684778,0.9274776690769885,4822,1.0,5.800000000000001
4,Neural Network,2,0,0.8951117318435754,0.9626013817963353,0.9276306267187725,6658,0.49149286498353456,5.800000000000001
5,Neural Network,2,1,0.9669629826190792,0.9065804204503047,0.9357986646122239,8039,0.49149286498353456,5.800000000000001
6,Neural Network,3,0,0.9284347923933836,0.9499194105457057,0.9390542309224377,8686,1.0,5.800000000000001
7,Neural Network,3,1,0.9607294393788932,0.9436070225217237,0.9520912547528516,11278,1.0,5.800000000000001
8,Neural Network,4,0,0.9261757368566941,0.9322049660559844,0.9291805710048202,10753,1.0,5.800000000000001
9,Neural Network,4,1,0.9479731658578361,0.9432609004402783,0.9456111625258061,14082,1.0,5.800000000000001
10,SVM,0,0,0.9337879454465464,0.9424955595026643,0.9381215469613259,4504,1.0,5.800000000000001
11,SVM,0,1,0.908770693906305,0.8955223880597015,0.9020979020979022,2881,1.0,5.800000000000001
12,SVM,1,0,0.9275182092734056,0.9427591188154568,0.9350765648786602,5538,1.0,5.800000000000001
13,SVM,1,1,0.9284747292418772,0.9097943842582357,0.9190396426577332,4523,1.0,5.800000000000001
14,SVM,2,0,0.9221293444786626,0.9385074626865672,0.9302463199940825,6700,1.0,5.800000000000001
15,SVM,2,1,0.9392330383480826,0.9230323235251485,0.9310622121500108,6899,1.0,5.800000000000001
16,SVM,3,0,0.9206020285745447,0.9261575597981128,0.9233714379478205,9114,1.0,5.800000000000001
17,SVM,3,1,0.9347425579365849,0.9297839506172839,0.9322566607030607,10368,1.0,5.800000000000001
18,SVM,4,0,0.9177283330342724,0.9187999640707806,0.9182638358992774,11133,1.0,5.800000000000001
19,SVM,4,1,0.9335342989486067,0.9326428676362568,0.9330883703839794,13614,1.0,5.800000000000001
20,Random Forest,0,0,0.9445039640025712,0.9428877005347593,0.9436951402269321,4675,0.0,5.800000000000001
21,Random Forest,0,1,0.914175506268081,0.9165323880116016,0.9153524299967815,3103,0.0,5.800000000000001
22,Random Forest,1,0,0.9391904156834271,0.9400436046511628,0.9396168164896032,5504,1.0,5.800000000000001
23,Random Forest,1,1,0.9172932330827067,0.9161451814768461,0.9167188478396994,3995,1.0,5.800000000000001
24,Random Forest,2,0,0.9313559322033899,0.9425385934819898,0.93691389599318,6996,1.0,5.800000000000001
25,Random Forest,2,1,0.9397391695397991,0.9280532938564027,0.933859675256964,6755,1.0,5.800000000000001
26,Random Forest,3,0,0.9225668689593167,0.9450840432880497,0.9336897179253868,8686,0.0,5.800000000000001
27,Random Forest,3,1,0.942983504661726,0.9196782466775472,0.9311850802644003,8578,0.0,5.800000000000001
28,Random Forest,4,0,0.94093900833699,0.9430908611135544,0.9420137058513443,11369,1.0,5.800000000000001
29,Random Forest,4,1,0.9488132911392405,0.946865624506553,0.9478384572828578,12666,1.0,5.800000000000001
